🇨🇳央视,#genre#
广东卫视,http://127.0.0.1:35455/tptv/G_GUANGDONG-HD-265-8M.m3u8
山东卫视,http://127.0.0.1:35455/tptv/G_SHANDONG-HD-265-8M.m3u8
深圳卫视,http://127.0.0.1:35455/tptv/G_SHENZHEN-HD-265-8M.m3u8
湖北卫视,http://127.0.0.1:35455/tptv/G_HUBEI-HD-265-8M.m3u8
湖南卫视,http://127.0.0.1:35455/tptv/G_HUNAN-HD-265-8M.m3u8
浙江卫视,http://127.0.0.1:35455/tptv/G_ZHEJIANG-HD-265-8M.m3u8
黑龙江卫视,http://127.0.0.1:35455/tptv/G_HEILONGJIANG-HD-265-8M.m3u8
天津卫视,http://127.0.0.1:35455/tptv/G_TIANJIN-HD-265-8M.m3u8
安徽卫视,http://127.0.0.1:35455/tptv/G_ANHUI-HD-265-8M.m3u8
辽宁卫视,http://127.0.0.1:35455/tptv/G_LIAONING-HD-265-8M.m3u8
东南卫视,http://127.0.0.1:35455/tptv/H265-5500k-1080P-dongnanstv.m3u8
吉林卫视,http://127.0.0.1:35455/tptv/G_JILIN-CQ.m3u8
四川卫视,http://127.0.0.1:35455/tptv/G_SICHUAN-CQ.m3u8
江西卫视,http://127.0.0.1:35455/tptv/G_JIANGXI-CQ.m3u8
河北卫视,http://127.0.0.1:35455/tptv/G_HEBEI-CQ.m3u8
河南卫视,http://127.0.0.1:35455/tptv/G_HENAN-CQ.m3u8
贵州卫视,http://127.0.0.1:35455/tptv/G_GUIZHOU-CQ.m3u8
重庆卫视,http://127.0.0.1:35455/tptv/G_CHONGQING-CQ.m3u8
云南卫视,http://127.0.0.1:35455/tptv/G_YUNNAN-HQ.m3u8
三沙卫视,http://127.0.0.1:35455/tptv/G_SANSHA-HQ.m3u8

🇨🇳体育,#genre#
咪咕视频1,http://127.0.0.1:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕视频2,http://127.0.0.1:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕视频3,http://127.0.0.1:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕视频4,http://127.0.0.1:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕视频5,http://127.0.0.1:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕视频6,http://127.0.0.1:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕视频7,http://127.0.0.1:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕视频8,http://127.0.0.1:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕视频9,http://127.0.0.1:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕视频10,http://127.0.0.1:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕视频11,http://127.0.0.1:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕视频12,http://127.0.0.1:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕视频13,http://127.0.0.1:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕视频14,http://127.0.0.1:35455/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪咕视频15,http://127.0.0.1:35455/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪咕视频16,http://127.0.0.1:35455/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪咕视频17,http://127.0.0.1:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪咕视频18,http://127.0.0.1:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
