🇨🇳央视频道,#genre#
cctv16,http://127.0.0.1:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
cctv16,http://127.0.0.1:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv16,http://127.0.0.1:35455/tptv/G_CCTV-16-CQ.m3u8

cctv17,http://127.0.0.1:35455/ysptp/cctv17.m3u8
cctv17,http://127.0.0.1:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
cctv17,http://127.0.0.1:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
cctv17,http://127.0.0.1:35455/tptv/G_CCTV-17-CQ.m3u8

cctv4k,http://127.0.0.1:35455/tptv/G_CCTV-4K-HD.m3u8
cctv4k,http://127.0.0.1:35455/tptv/G_CCTV-4K-HD.m3u8
cctv4k,http://127.0.0.1:35455/ysptp/cctv4k_10m.m3u8
cctv4k,http://127.0.0.1:35455/ysptp/cctv4k.m3u8

cctv8k,http://127.0.0.1:35455/ysptp/cctv8k_36m.m3u8
cctv8k,http://127.0.0.1:35455/ysptp/cctv8k_120m.m3u8


世界地理,http://127.0.0.1:35455/tptv/G_SHIJIEDL-CQ.m3u8
风云剧场,http://127.0.0.1:35455/tptv/G_FENGYUNJC-CQ.m3u8
风云足球,http://127.0.0.1:35455/tptv/G_FENGSHANGZQ-CQ.m3u8
风云音乐,http://127.0.0.1:35455/tptv/G_FENGYUNYY-CQ.m3u8
兵器科技,http://127.0.0.1:35455/tptv/G_BINGQIKJ-CQ.m3u8
央视台球,http://127.0.0.1:35455/tptv/G_TAIQIU-CQ.m3u8
高尔夫网球,http://127.0.0.1:35455/tptv/G_CCTVGOLF-CQ.m3u8
女性时尚,http://127.0.0.1:35455/tptv/G_NVXINGSS-CQ.m3u8
电视指南,http://127.0.0.1:35455/tptv/G_DIANSHIZN-CQ.m3u8
第一剧场,http://127.0.0.1:35455/tptv/G_DIYIJC-CQ.m3u8
怀旧剧场,http://127.0.0.1:35455/tptv/G_HUAIJIUJC-CQ.m3u8
央视文化精品,http://127.0.0.1:35455/tptv/G_CCTVWENHUA-CQ.m3u8
中国教育1,http://127.0.0.1:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育4,http://127.0.0.1:35455/itv/5000000011000031126.m3u8?cdn=bestzb


🇨🇳卫视频道,#genre#
江苏卫视,http://127.0.0.1:35455/tptv/G_JIANGSU-HD-265-8M.m3u8
江苏卫视,http://127.0.0.1:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://127.0.0.1:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://127.0.0.1:35455/itv/1000000005000265030.m3u8?cdn=ystenlive

凤凰卫视中文,http://127.0.0.1:35455/tptv/HD-10000k-1080P-fhchinese5s.m3u8
凤凰卫视资讯,http://127.0.0.1:35455/tptv/HD-10000k-1080P-fhzixun5s.m3u8
凤凰卫视香港,http://127.0.0.1:35455/tptv/HD-10000k-1080P-fhhongkong5s.m3u8

第一财经,http://127.0.0.1:35455/itv/5000000010000027146.m3u8?cdn=bestzb

南京新闻综合,http://127.0.0.1:35455/tptv/G_NJXW.m3u8
南京信息,http://127.0.0.1:35455/tptv/G_NJXX.m3u8
南京十八,http://127.0.0.1:35455/tptv/G_NJSB.m3u8
南京生活,http://127.0.0.1:35455/tptv/G_NJSH.m3u8
南京娱乐,http://127.0.0.1:35455/tptv/G_NJYL.m3u8
南京影视,http://127.0.0.1:35455/tptv/G_NJYS.m3u8
南京少儿,http://127.0.0.1:35455/tptv/G_NJSE.m3u8
南京教科,http://127.0.0.1:35455/tptv/G_NJJK.m3u8
江苏仪化电视,http://127.0.0.1:35455/tptv/HD-4000k-1080P-jsyihua.m3u8
徐州新沂3套,http://127.0.0.1:35455/tptv/G_XZXYTV-3.m3u8
徐州新闻综合,http://127.0.0.1:35455/tptv/xzxwzh.m3u8
徐州文艺影视,http://127.0.0.1:35455/tptv/xzwyys.m3u8
徐州沛县综艺,http://127.0.0.1:35455/tptv/xzpxzy.m3u8
徐州沛县新闻综合,http://127.0.0.1:35455/tptv/xzpxxwzh.m3u8
徐州沛县生活,http://127.0.0.1:35455/tptv/xzpxsh.m3u8
徐州经济生活,http://127.0.0.1:35455/tptv/xzjjsh.m3u8
徐州公共,http://127.0.0.1:35455/tptv/xzgg.m3u8
常州新闻,http://127.0.0.1:35455/tptv/jsczxinwen.m3u8
常州生活,http://127.0.0.1:35455/tptv/jsczshenghuo.m3u8
常州公共,http://127.0.0.1:35455/tptv/jsczgonggong.m3u8
常州都市,http://127.0.0.1:35455/tptv/jsczdushi.m3u8
镇江一套,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-1.m3u8
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-1.m3u8
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-2.m3u8
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-3.m3u8
镇江三套,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-3.m3u8
镇江二套,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-2.m3u8
伊春公共,http://127.0.0.1:35455/tptv/jsntsantao.m3u8
伊春公共,http://127.0.0.1:35455/tptv/jsntsantao.m3u8
睢宁综合,http://127.0.0.1:35455/tptv/xzsnzh.m3u8
睢宁资讯,http://127.0.0.1:35455/tptv/xzsnzx.m3u8
睢宁三农,http://127.0.0.1:35455/tptv/xzsnsn.m3u8
宿迁综合,http://127.0.0.1:35455/tptv/G_SQZH.m3u8
宿迁公共,http://127.0.0.1:35455/tptv/G_SQGG.m3u8
邳州综艺,http://127.0.0.1:35455/tptv/pzzongyi.m3u8
邳州综合,http://127.0.0.1:35455/tptv/pzzonghe.m3u8
南通一套,http://127.0.0.1:35455/tptv/jsntyitao.m3u8
南通二套,http://127.0.0.1:35455/tptv/jsntertao.m3u8
南通电视台,http://127.0.0.1:35455/tptv/jsntyitao.m3u8
南通电视台,http://127.0.0.1:35455/tptv/jsntertao.m3u8
赣榆新闻综合,http://127.0.0.1:35455/tptv/HD-2500k-1080P-ganyutv.m3u8

安徽卫视,http://127.0.0.1:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://127.0.0.1:35455/tptv/G_ANHUI-HD-265-8M.m3u8
北京卫视,http://127.0.0.1:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://127.0.0.1:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://127.0.0.1:35455/tptv/G_BEIJING-HD-265-8M.m3u8
东方财经,http://127.0.0.1:35455/itv/5000000007000010003.m3u8?cdn=bestzb
东方卫视,http://127.0.0.1:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东方卫视,http://127.0.0.1:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://127.0.0.1:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://127.0.0.1:35455/tptv/G_DONGFANG-HD-265-8M.m3u8
东方影视,http://127.0.0.1:35455/itv/5000000010000032212.m3u8?cdn=bestzb
东南卫视,http://127.0.0.1:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
东南卫视,http://127.0.0.1:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://127.0.0.1:35455/tptv/H265-5500k-1080P-dongnanstv.m3u8
甘肃卫视,http://127.0.0.1:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://127.0.0.1:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://127.0.0.1:35455/tptv/G_GUANGDONG-HD-265-8M.m3u8
广西卫视,http://127.0.0.1:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://127.0.0.1:35455/itv/5000000004000025843.m3u8?cdn=bestzb
贵州卫视,http://127.0.0.1:35455/tptv/G_GUIZHOU-CQ.m3u8
海南卫视,http://127.0.0.1:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://127.0.0.1:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河北卫视,http://127.0.0.1:35455/tptv/G_HEBEI-CQ.m3u8
河南卫视,http://127.0.0.1:35455/itv/5000000011000031119.m3u8?cdn=bestzb
河南卫视,http://127.0.0.1:35455/tptv/G_HENAN-CQ.m3u8
黑龙江卫视,http://127.0.0.1:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://127.0.0.1:35455/tptv/G_HEILONGJIANG-HD-265-8M.m3u8
湖北卫视,http://127.0.0.1:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://127.0.0.1:35455/tptv/G_HUBEI-HD-265-8M.m3u8
湖南卫视,http://127.0.0.1:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南卫视,http://127.0.0.1:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://127.0.0.1:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://127.0.0.1:35455/tptv/G_HUNAN-HD-265-8M.m3u8
